# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,
# Mon Apr  7 18:24:44 2014,,,,,,,,,,
#,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius (val),,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius (upper unc),,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius (lower unc),,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius (limit flag),,,,,,,,,,
# COLUMN st_dist:        Distance (val),,,,,,,,,,
# COLUMN st_disterr1:    Distance (upper unc),,,,,,,,,,
# COLUMN st_disterr2:    Distance (lower unc),,,,,,,,,,
# COLUMN st_distlim:     Distance (limit flag),,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,
# COLUMN pl_disc:        Year of Discovery,,,,,,,,,,
#,,,,,,,,,,
rowid,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_name,pl_disc
342,,,,,48.64,2.21,-2.43,0,HD 79498 b,2011
343,0.98,0.03,-0.03,0,29.04,,,-1,HD 80606 b,2001
344,,,,,32.56,1.26,-1.37,0,HD 81040 b,2005
345,,,,,88.26,6.09,-7.07,0,HD 81688 b,2007
346,,,,,27.46,0.62,-0.65,0,HD 82943 b,2003
347,,,,,27.46,0.62,-0.65,0,HD 82943 c,2003
348,,,,,112.23,10.5,-12.92,0,HD 82886 b,2011
349,,,,,43.53,1.64,-1.77,0,HD 83443 b,2002
350,,,,,33.96,0.94,-1,0,HD 85390 b,2009
351,,,,,11.15,0.1,-0.1,0,HD 85512 b,2011
352,,,,,91.16,9.06,-11.3,0,HD 86081 b,2006
353,,,,,42.48,1.48,-1.59,0,HD 86226 b,2009
354,,,,,72.57,4.08,-4.59,0,HD 86264 b,2009
355,,,,,18.06,0.3,-0.31,0,HD 87883 b,2009
356,,,,,74.46,5.92,-7.04,0,HD 88133 b,2004
357,,,,,30.88,0.92,-0.97,0,HD 89307 b,2009
358,,,,,38.99,1.04,-1.09,0,HD 89744 b,1999
359,,,,,22.09,0.36,-0.37,0,HD 90156 b,2009
360,,,,,32.32,1,-1.07,0,HD 92788 b,2000
361,,,,,28.9,0.81,-0.86,0,HD 93083 b,2005
362,,,,,91.57,4.62,-5.14,0,HD 95086 b,2013
363,,,,,149.03,19.67,-26.72,0,HD 95089 b,2009
364,,,,,132.8,16.39,-21.76,0,HD 96063 b,2011
365,,,,,84.03,8.22,-10.22,0,HD 96167 b,2009
366,,,,,221.24,,,-1,HD 96127 b,2011
367,0.2,0.009,-0.008,0,21.3,0.43,-0.45,0,HD 97658 b,2010
368,,,,,150.38,18.62,-24.75,0,HD 98219 b,2011
369,,,,,42.77,1.75,-1.91,0,HD 98649 b,2012
370,,,,,60.46,4.44,-5.2,0,HD 99109 b,2005
371,,,,,17.99,1.01,-1.14,0,HD 99492 b,2004
372,,,,,17.99,1.01,-1.14,0,HD 99492 c,2010
373,,,,,130.89,13.24,-16.6,0,HD 99706 b,2011
374,,,,,140.85,15.06,-19.16,0,HD 100655 b,2011
375,,,,,52.8,3,-3.38,0,HD 100777 b,2007
376,,,,,30.5,0.87,-0.92,0,HD 101930 b,2005
377,,,,,42,1.41,-1.52,0,HD 102117 b,2005
378,,,,,28.98,0.94,-1.01,0,HD 102195 b,2006
379,,,,,164.2,,,-1,HD 102272 b,2008
380,,,,,9.24,0.06,-0.06,0,HD 102365 b,2010
381,,,,,138.5,17.44,-23.31,0,HD 102329 b,2011
382,,,,,121.07,12.37,-15.55,0,HD 102956 b,2010
383,,,,,49.33,3.34,-3.86,0,HD 103197 b,2009
384,,,,,53.08,2.27,-2.48,0,HD 103774 b,2013
385,,,,,20.82,0.44,-0.46,0,HD 104067 b,2009
386,,,,,102.04,5.14,-5.72,0,HD 104985 b,2003
387,,,,,37.44,1.23,-1.32,0,HD 106252 b,2002
388,,,,,87.87,7.23,-8.65,0,HD 106270 b,2011
389,,,,,36.36,1.93,-2.16,0,HD 106515 A b,2012
390,,,,,91.83,7.01,-8.27,0,HD 106906 b,2013
391,,,,,51.26,2.5,-2.77,0,HD 107148 b,2005
392,,,,,38.56,1,-1.05,0,HD 108147 b,2002
393,,,,,138.5,18.02,-24.36,0,HD 108863 b,2011
394,,,,,68.54,5.37,-6.37,0,HD 108874 b,2002
395,,,,,68.54,5.37,-6.37,0,HD 108874 c,2005
396,,,,,65.62,3.16,-3.49,0,HD 109246 b,2010
397,,,,,56.92,2.89,-3.22,0,HD 109271 b,2013
398,,,,,56.92,2.89,-3.22,0,HD 109271 c,2013
399,,,,,59.03,5.98,-7.5,0,HD 109749 b,2005
400,,,,,97.66,7.73,-9.18,0,HD 110014 b,2009
401,,,,,28.88,0.65,-0.68,0,HD 111232 b,2003
402,,,,,37.42,0.73,-0.76,0,HD 113337 b,2013
403,,,,,15.71,0.32,-0.34,0,HD 113538 b,2010
404,,,,,15.71,0.32,-0.34,0,HD 113538 c,2010
405,,,,,28.04,1,-1.08,0,HD 114386 b,2003
406,,,,,20.48,0.33,-0.34,0,HD 114613 b,2014
407,,,,,40.57,2.24,-2.52,0,HD 114762 b,1989
408,,,,,20.43,0.43,-0.45,0,HD 114783 b,2001
409,,,,,35,1.15,-1.23,0,HD 114729 b,2002
410,,,,,110.62,10.82,-13.45,0,HD 116029 b,2011
411,,,,,33.01,0.97,-1.03,0,HD 117207 b,2004
412,,,,,38.02,1.3,-1.39,0,HD 117618 b,2004
413,,,,,88.57,6,-6.94,0,HD 118203 b,2005
414,,,,,97.66,4.46,-4.91,0,HD 120084 b,2013
415,,,,,44.37,1.72,-1.87,0,HD 121504 b,2003
416,,,,,52.83,3.64,-4.22,0,HD 125612 b,2007
417,,,,,52.83,3.64,-4.22,0,HD 125612 c,2009
418,,,,,52.83,3.64,-4.22,0,HD 125612 d,2009
419,,,,,27.45,0.88,-0.94,0,HD 125595 b,2009
420,,,,,68.35,4.98,-5.83,0,HD 126614 b,2009
421,,,,,16.57,0.27,-0.28,0,HD 128311 b,2002
422,,,,,16.57,0.27,-0.28,0,HD 128311 c,2005
423,,,,,67.61,4.8,-5.59,0,HD 129445 b,2009
424,,,,,29.76,1.28,-1.4,0,HD 130322 b,1999
425,,,,,121.36,12.9,-16.38,0,HD 131496 b,2011
426,,,,,70.97,3.68,-4.1,0,HD 132406 b,2007
427,,,,,98.52,16.28,-24.33,0,HD 132563 b,2011
428,,,,,57.21,2.8,-3.11,0,HD 131664 b,2008
429,,,,,25.65,0.63,-0.66,0,HD 134987 b,1999
430,,,,,25.65,0.63,-0.66,0,HD 134987 c,2009
431,,,,,106.38,7.57,-8.82,0,HD 136418 b,2009
432,,,,,121.36,7.46,-8.51,0,HD 139357 b,2008
433,,,,,38.45,2.59,-2.99,0,HD 137388 A b,2011
434,,,,,33.46,1.17,-1.25,0,HD 141937 b,2002
435,,,,,106.38,9.67,-11.82,0,HD 142245 b,2011
436,,,,,34.57,0.98,-1.03,0,HD 142415 b,2003
437,,,,,59.35,4.19,-4.88,0,HD 143361 b,2008
438,,,,,126.1,10.63,-12.78,0,HD 145457 b,2010
439,,,,,35.87,0.85,-0.9,0,HD 142022 A b,2005
440,,,,,55.19,3.16,-3.57,0,HD 145377 b,2008
441,,,,,42.68,1.66,-1.8,0,HD 147018 b,2009
442,,,,,42.68,1.66,-1.8,0,HD 147018 c,2009
443,,,,,12.87,0.14,-0.14,0,HD 147513 b,2003
444,,,,,53.05,2.75,-3.07,0,HD 148156 b,2009
445,,,,,59.28,3.19,-3.58,0,HD 148427 b,2009
446,0.813,0.027,-0.025,0,78.86,4.62,-5.24,0,HD 149026 b,2005
447,,,,,63.49,4.04,-4.63,0,HD 149143 b,2005
448,,,,,85.18,9.19,-11.72,0,HD 152079 b,2009
449,,,,,182.82,31.76,-48.67,0,HD 152581 b,2011
450,,,,,51.87,3.18,-3.63,0,HD 153950 b,2008
451,,,,,18.06,0.18,-0.18,0,HD 154345 b,2006
452,,,,,65.79,4.48,-5.18,0,HD 154672 b,2008
453,,,,,68.54,4.02,-4.56,0,HD 154857 b,2004
454,,,,,68.54,4.02,-4.56,0,HD 154857 c,2014
455,,,,,43.4,1.26,-1.34,0,HD 155358 b,2007
456,,,,,43.4,1.26,-1.34,0,HD 155358 c,2007
457,,,,,35.37,0.76,-0.79,0,HD 156279 b,2011
458,,,,,55.1,2.41,-2.64,0,HD 156411 b,2009
459,,,,,24.05,0.59,-0.62,0,HD 156668 b,2010
460,,,,,49,2.13,-2.34,0,HD 156846 b,2007
461,,,,,114.15,10.2,-12.43,0,HD 158038 b,2011
462,,,,,68.59,5.42,-6.43,0,HD 159243 b,2013
463,,,,,68.59,5.42,-6.43,0,HD 159243 c,2013
464,,,,,52.72,2.82,-3.15,0,HD 159868 b,2006
465,,,,,52.72,2.82,-3.15,0,HD 159868 c,2012
466,,,,,15.28,0.18,-0.19,0,HD 160691 b,2000
467,,,,,15.28,0.18,-0.19,0,HD 160691 c,2004
468,,,,,15.28,0.18,-0.19,0,HD 160691 d,2004
469,,,,,15.28,0.18,-0.19,0,HD 160691 e,2006
470,,,,,31.26,1.38,-1.52,0,HD 162020 b,2002
471,,,,,69.44,2.95,-3.23,0,HD 163607 b,2010
472,,,,,69.44,2.95,-3.23,0,HD 163607 c,2010
473,,,,,51.81,2.72,-3.04,0,HD 164509 b,2010
474,,,,,21.92,0.34,-0.35,0,HD 164922 b,2005
475,,,,,37.98,2.48,-2.85,0,HD 164604 b,2009
476,,,,,42.99,2.54,-2.88,0,HD 166724 b,2012
477,,,,,50,1.24,-1.31,0,HD 167042 b,2007
478,,,,,37.88,1.18,-1.26,0,HD 168443 b,1998
479,,,,,37.88,1.18,-1.26,0,HD 168443 c,2000
480,,,,,43.12,1.71,-1.86,0,HD 168746 b,2002
481,,,,,36.32,1.16,-1.24,0,HD 169830 b,2000
482,,,,,36.32,1.16,-1.24,0,HD 169830 c,2003
483,,,,,64.98,4.37,-5.05,0,HD 170469 b,2007
484,,,,,,,,,HD 171028 b,2007
485,,,,,44.05,2.33,-2.61,0,HD 171238 b,2009
486,,,,,134.95,9.01,-10.4,0,HD 173416 b,2008
487,,,,,67.02,3.85,-4.35,0,HD 175167 b,2009
488,,,,,127.55,16.07,-21.48,0,HD 175541 b,2007
489,,,,,59.03,2.54,-2.77,0,HD 177830 b,1999
490,,,,,59.03,2.54,-2.77,0,HD 177830 c,2010
491,,,,,46.73,8.78,-14.06,0,HD 178911 B b,2001
492,,,,,63.69,3.6,-4.06,0,HD 179079 b,2008
493,,,,,27.05,0.57,-0.6,0,HD 179949 b,2000
494,,,,,131.75,10.25,-12.13,0,HD 180314 b,2010
495,,,,,114.55,11.77,-14.82,0,HD 180902 b,2009
496,,,,,115.47,11.09,-13.73,0,HD 181342 b,2009
497,,,,,55.93,3.82,-4.42,0,HD 181720 b,2009
498,,,,,26.15,0.76,-0.81,0,HD 181433 b,2008
499,,,,,26.15,0.76,-0.81,0,HD 181433 c,2008
500,,,,,26.15,0.76,-0.81,0,HD 181433 d,2008
501,,,,,52.83,2.8,-3.13,0,HD 183263 b,2004
502,,,,,52.83,2.8,-3.13,0,HD 183263 c,2008
503,,,,,47.37,1.6,-1.72,0,HD 185269 b,2006
504,,,,,47.92,1.58,-1.69,0,HD 187123 b,1998
505,,,,,47.92,1.58,-1.69,0,HD 187123 c,1999
506,,,,,44.98,2.19,-2.43,0,HD 187085 b,2006
507,,,,,52.63,2.51,-2.77,0,HD 188015 b,2004
508,1.151,0.038,-0.038,0,19.25,0.32,-0.33,0,HD 189733 b,2005
509,,,,,62.11,2.97,-3.29,0,HD 190228 b,2002
510,,,,,15.89,0.16,-0.16,0,HD 190360 b,2003
511,,,,,15.89,0.16,-0.16,0,HD 190360 c,2005
512,,,,,54.23,3.05,-3.44,0,HD 190647 b,2007
513,,,,,189.39,36.26,-58.74,0,HD 190984 b,2009
514,,,,,19.89,0.44,-0.46,0,HD 192263 b,1999
515,,,,,8.82,0.07,-0.07,0,HD 192310 b,2011
516,,,,,8.82,0.07,-0.07,0,HD 192310 c,2011
517,,,,,67.39,3.89,-4.4,0,HD 192699 b,2007
518,,,,,37.35,1.2,-1.28,0,HD 195019 b,1999
519,,,,,46.93,1.92,-2.09,0,HD 196050 b,2002
520,,,,,43.57,3.65,-4.39,0,HD 196067 b,2012
521,,,,,32.99,0.86,-0.91,0,HD 196885 b,2007
522,,,,,32.83,0.63,-0.66,0,HD 197037 b,2011
523,,,,,68.35,4.5,-5.18,0,HD 200964 b,2010
524,,,,,68.35,4.5,-5.18,0,HD 200964 c,2010
525,,,,,46.34,2.33,-2.58,0,HD 202206 b,2002
526,,,,,46.34,2.33,-2.58,0,HD 202206 c,2004
527,,,,,40.85,1.68,-1.83,0,HD 203030 b,2006
528,,,,,47.3,2.26,-2.5,0,HD 204313 b,2009
529,,,,,47.3,2.26,-2.5,0,HD 204313 d,2012
530,,,,,26.95,0.88,-0.95,0,HD 204941 b,2011
531,,,,,90.33,8.3,-10.17,0,HD 205739 b,2008
532,,,,,170.07,27.01,-39.58,0,HD 206610 b,2009
533,,,,,55.31,3.42,-3.9,0,HD 207832 b,2012
534,,,,,55.31,3.42,-3.9,0,HD 207832 c,2012
535,,,,,352.11,75.1,-130.98,0,HD 208527 b,2012
536,,,,,43.99,1.87,-2.05,0,HD 208487 b,2004
537,1.38,0.017,-0.017,0,47.08,2.12,-2.33,0,HD 209458 b,1999
538,,,,,21.29,0.35,-0.36,0,HD 210277 b,1998
539,,,,,55.93,2.22,-2.41,0,HD 210702 b,2007
540,,,,,121.8,13.93,-18.06,0,HD 212771 b,2009
541,,,,,52.72,1.95,-2.11,0,HD 212301 b,2005
542,,,,,40.75,1.3,-1.39,0,HD 213240 b,2001
543,,,,,43.53,2.25,-2.51,0,HD 215497 b,2009
544,,,,,43.53,2.25,-2.51,0,HD 215497 c,2009
545,,,,,33.29,0.79,-0.83,0,HD 216435 b,2002
546,,,,,26.52,0.4,-0.41,0,HD 216437 b,2002
547,,,,,37.89,1.46,-1.59,0,HD 216770 b,2003
548,,,,,19.72,0.29,-0.3,0,HD 217107 b,1998
549,,,,,19.72,0.29,-0.3,0,HD 217107 c,2005
550,,,,,54.92,2.78,-3.09,0,HD 217786 b,2010
551,,,,,29.94,1.03,-1.11,0,HD 218566 b,2010
552,,,,,29.2,0.51,-0.53,0,HD 219077 b,2012
553,,,,,,,,,HD 219415 b,2012
554,,,,,81.1,6.14,-7.24,0,HD 219828 b,2007
555,,,,,289.02,42.71,-60.63,0,HD 220074 b,2012
556,,,,,45.23,1.81,-1.96,0,HD 220689 b,2012
557,,,,,48.43,2.32,-2.57,0,HD 220773 b,2011
558,,,,,52.88,2.2,-2.4,0,HD 221287 b,2007
559,,,,,50.45,2,-2.18,0,HD 222155 b,2011
560,,,,,41.95,1.87,-2.05,0,HD 222582 b,1999
561,,,,,94.07,9.33,-11.64,0,HD 224693 b,2006
562,,,,,108.46,11.94,-15.3,0,HD 231701 b,2007
563,,,,,,,,,HD 233604 b,2013
564,,,,,,,,,HD 240210 b,2009
565,,,,,307.69,,,-1,HD 240237 b,2011
566,,,,,54.92,4.02,-4.72,0,HD 290327 b,2009
567,,,,,9.42,0.22,-0.23,0,HD 285968 b,2008
568,,,,,50.2,3.49,-4.06,0,HD 330075 b,2004
569,,,,,44.8,3.89,-4.7,0,HIP 5158 b,2009
570,,,,,44.8,3.89,-4.7,0,HIP 5158 c,2011
571,,,,,23.8,0.86,-0.93,0,HIP 12961 b,2010
572,,,,,52.88,3.77,-4.39,0,HIP 14810 b,2005
573,,,,,52.88,3.77,-4.39,0,HIP 14810 c,2006
574,,,,,52.88,3.77,-4.39,0,HIP 14810 d,2009
575,,,,,11.03,0.36,-0.38,0,HIP 57050 b,2010
576,,,,,25.87,0.71,-0.75,0,HIP 57274 b,2011
577,,,,,25.87,0.71,-0.75,0,HIP 57274 c,2011
578,,,,,25.87,0.71,-0.75,0,HIP 57274 d,2011
579,1.22,,,0,11.43,0.19,-0.2,0,HIP 63510 c,2010
580,,,,,149.25,13.94,-17.14,0,HIP 63242 b,2013
581,,,,,23.98,1.11,-1.22,0,HIP 70849 b,2009
582,,,,,31.33,0.49,-0.51,0,HIP 75458 b,2002
583,,,,,131.93,14.28,-18.22,0,HIP 78530 b,2010
584,,,,,14.9,0.75,-0.83,0,HIP 79431 b,2009
585,,,,,44.46,1.38,-1.47,0,HIP 91258 b,2013
586,,,,,17.24,0.16,-0.17,0,HR 810 b,1999
587,1.2,0.1,-0.1,0,39.94,1.31,-1.4,0,HR 8799 b,2008
588,1.2,0.1,0,0,39.94,1.31,-1.4,0,HR 8799 c,2008
589,1.2,0.1,0,0,39.94,1.31,-1.4,0,HR 8799 d,2008
590,,,,,39.94,1.31,-1.4,0,HR 8799 e,2010
591,1.11,0.032,-0.022,0,262,14,-14,0,KELT-1 b,2012
592,1.286,0.065,-0.047,0,124.22,16.58,-22.62,0,KELT-2 A b,2012
593,1.345,0.072,-0.072,0,178,16,-16,0,KELT-3 b,2013
594,1.193,0.13,-0.077,0,222,8,-8,0,KELT-6 b,2014
595,1.272,0.041,-0.041,0,213,11,-11,0,TrES-2 b,2006
596,1.342,0.068,-0.068,0,320,50,-40,0,HAT-P-7 b,2008
597,0.422,0.014,-0.014,0,38,1.3,-1.3,0,HAT-P-11 b,2008
598,0.357,0.019,-0.019,0,550,80,-80,0,Kepler-4 b,2009
599,1.431,0.041,-0.052,0,,,,,Kepler-5 b,2009
600,1.323,0.026,-0.029,0,,,,,Kepler-6 b,2009
601,1.478,0.05,-0.051,0,,,,,Kepler-7 b,2009
602,1.419,0.056,-0.058,0,1330,180,-180,0,Kepler-8 b,2010
603,0.842,0.069,-0.069,0,650,,,0,Kepler-9 b,2010
604,0.823,0.067,-0.067,0,650,,,0,Kepler-9 c,2010
605,0.146,0.017,-0.012,0,650,,,0,Kepler-9 d,2010
606,0.126,0.003,-0.003,0,173,27,-27,0,Kepler-10 b,2011
607,0.199,0.005,-0.005,0,173,27,-27,0,Kepler-10 c,2011
608,0.161,0.003,-0.004,0,613,,,0,Kepler-11 b,2010
609,0.256,0.004,-0.005,0,613,,,0,Kepler-11 c,2010
610,0.278,0.005,-0.006,0,613,,,0,Kepler-11 d,2010
611,0.374,0.006,-0.008,0,613,,,0,Kepler-11 e,2010
612,0.222,0.004,-0.006,0,613,,,0,Kepler-11 f,2010
613,0.297,0.005,-0.007,0,613,,,0,Kepler-11 g,2010
614,1.695,0.028,-0.032,0,600,,,0,Kepler-12 b,2011
615,1.83,,,0,,,,,KOI-13 b,2011
616,1.136,0.073,-0.054,0,980,,,0,Kepler-14 b,2011
617,0.96,0.06,-0.07,0,,,,,Kepler-15 b,2011
618,0.754,0.003,-0.003,0,61,,,0,Kepler-16 b,2011
619,1.31,0.02,-0.02,0,800,100,-100,0,Kepler-17 b,2011
620,0.178,0.009,-0.009,0,,,,,Kepler-18 b,2011
621,0.49,0.023,-0.023,0,,,,,Kepler-18 c,2011
622,0.623,0.029,-0.029,0,,,,,Kepler-18 d,2011
623,0.197,0.004,-0.004,0,2119,,,0,Kepler-19 b,2011
624,,,,,2119,,,0,Kepler-19 c,2011
625,0.17,0.011,-0.019,0,290,30,-30,0,Kepler-20 b,2011
626,0.274,0.018,-0.028,0,290,30,-30,0,Kepler-20 c,2011
627,0.245,0.015,-0.027,0,290,30,-30,0,Kepler-20 d,2011
628,0.077,0.007,-0.009,0,290,30,-30,0,Kepler-20 e,2011
629,0.092,0.009,-0.012,0,290,30,-30,0,Kepler-20 f,2011
630,0.146,0.003,-0.004,0,108,10,-10,0,Kepler-21 b,2011
631,0.212,0.012,-0.012,0,190,,,0,Kepler-22 b,2011
632,0.17,,,0,800,,,,Kepler-23 b,2011
633,0.285,,,0,800,,,,Kepler-23 c,2011
634,0.196,0.008,-0.008,0,800,,,,Kepler-23 d,2014
635,0.214,,,0,1200,,,0,Kepler-24 b,2011
636,0.25,,,0,1200,,,0,Kepler-24 c,2011
637,0.149,0.035,-0.035,0,1200,,,0,Kepler-24 d,2014
638,0.248,0.057,-0.057,0,1200,,,0,Kepler-24 e,2014
639,0.232,,,0,,,,,Kepler-25 b,2011
640,0.401,,,0,,,,,Kepler-25 c,2011
641,,,,,,,,,Kepler-25 d,2014
642,0.321,,,0,,,,,Kepler-26 b,2011
643,0.321,,,0,,,,,Kepler-26 c,2011
644,0.095,0.005,-0.005,0,,,,,Kepler-26 d,2014
645,0.215,0.013,-0.013,0,,,,,Kepler-26 e,2014
646,0.357,,,0,,,,,Kepler-27 b,2011
647,0.437,,,0,,,,,Kepler-27 c,2011
648,0.321,,,0,,,,,Kepler-28 b,2011
649,0.303,,,0,,,,,Kepler-28 c,2011
650,0.321,0.045,-0.045,0,1400,,,0,Kepler-29 b,2011
651,0.259,0.036,-0.036,0,1400,,,0,Kepler-29 c,2011
652,0.348,0.018,-0.018,0,1400,,,0,Kepler-30 b,2012
653,1.097,0.036,-0.036,0,1400,,,0,Kepler-30 c,2012
654,0.785,0.045,-0.045,0,1400,,,0,Kepler-30 d,2012
655,0.491,0.098,-0.098,0,2100,,,0,Kepler-31 b,2011
656,0.473,0.098,-0.098,0,2100,,,0,Kepler-31 c,2011
657,0.407,0.099,-0.099,0,2100,,,0,Kepler-31 d,2014
658,0.196,0.018,-0.018,0,303,14,-14,0,Kepler-32 b,2011
659,0.178,0.018,-0.018,0,303,14,-14,0,Kepler-32 c,2011
660,0.241,0.009,-0.009,0,303,14,-14,0,Kepler-32 d,2012
661,0.134,0.009,-0.009,0,303,14,-14,0,Kepler-32 e,2012
662,0.072,0.004,-0.004,0,303,14,-14,0,Kepler-32 f,2012
663,0.155,0.016,-0.016,0,,,,,Kepler-33 b,2011
664,0.285,0.027,-0.027,0,,,,,Kepler-33 c,2011
665,0.477,0.044,-0.044,0,,,,,Kepler-33 d,2011
666,0.359,0.034,-0.034,0,,,,,Kepler-33 e,2011
667,0.398,0.037,-0.037,0,,,,,Kepler-33 f,2011
668,0.764,0.012,-0.014,0,1499,33,-33,0,Kepler-34 b,2011
669,0.728,0.014,-0.014,0,1645,43,-43,0,Kepler-35 b,2011
670,0.133,0.003,-0.003,0,470,,,0,Kepler-36 b,2012
671,0.328,0.005,-0.005,0,470,,,0,Kepler-36 c,2012
672,0.027,0.005,-0.007,0,66,,,0,Kepler-37 b,2013
673,0.066,0.006,-0.007,0,66,,,0,Kepler-37 c,2013
674,0.178,0.01,-0.012,0,66,,,0,Kepler-37 d,2013
675,0.384,0.01,-0.01,0,600,,,0,Kepler-38 b,2012
676,1.22,0.12,-0.1,0,1200,250,-250,0,Kepler-39 b,2011
677,1.17,0.04,-0.04,0,2700,200,-200,0,Kepler-40 b,2010
678,0.89,0.05,-0.05,0,770,100,-100,0,Kepler-41 b,2011
679,0.07,0.02,-0.02,0,38.7,6.3,-6.3,0,Kepler-42 b,2011
680,0.065,0.018,-0.018,0,38.7,6.3,-6.3,0,Kepler-42 c,2011
681,0.051,0.016,-0.016,0,38.7,6.3,-6.3,0,Kepler-42 d,2011
682,1.2,0.06,-0.06,0,1950,250,-250,0,Kepler-43 b,2011
683,1.24,0.07,-0.07,0,2250,300,-300,0,Kepler-44 b,2011
684,0.96,0.11,-0.11,0,333,33,-33,0,Kepler-45 b,2011
685,0.808,0.042,-0.043,0,855,68,-65,0,Kepler-46 b,2012
686,,,,,855,68,-65,0,Kepler-46 c,2012
687,0.146,0.082,-0.082,0,855,68,-65,0,Kepler-46 d,2014
688,0.27,0.011,-0.011,0,1500,,,0,Kepler-47 b,2012
689,0.411,0.018,-0.018,0,1500,,,0,Kepler-47 c,2012
690,0.191,,,0,,,,,Kepler-48 b,2012
691,0.28,,,0,,,,,Kepler-48 c,2012
692,0.182,0.01,-0.01,0,,,,,Kepler-48 d,2014
693,,,,,,,,,Kepler-48 e,2014
694,0.243,,,0,,,,,Kepler-49 b,2012
695,0.227,,,0,,,,,Kepler-49 c,2012
696,0.143,0.006,-0.006,0,,,,,Kepler-49 d,2014
697,0.139,0.007,-0.007,0,,,,,Kepler-49 e,2014
698,0.153,0.004,-0.009,0,,,,,Kepler-50 b,2012
699,0.194,0.006,-0.007,0,,,,,Kepler-50 c,2012
700,0.633,0.027,-0.027,0,,,,,Kepler-51 b,2012
701,0.803,0.25,-0.152,0,,,,,Kepler-51 c,2012
702,0.865,0.045,-0.045,0,,,,,KOI-620.02,2014
703,0.187,,,0,,,,,Kepler-52 b,2012
704,0.164,,,0,,,,,Kepler-52 c,2012
705,0.174,0.019,-0.019,0,,,,,Kepler-52 d,2014
706,0.258,,,0,,,,,Kepler-53 b,2012
707,0.283,,,0,,,,,Kepler-53 c,2012
708,0.189,0.094,-0.094,0,,,,,Kepler-53 d,2014
709,0.187,,,0,,,,,Kepler-54 b,2012
710,0.11,,,0,,,,,Kepler-54 c,2012
711,0.136,0.007,-0.007,0,,,,,Kepler-54 d,2014
712,0.217,,,0,,,,,Kepler-55 b,2012
713,0.197,,,0,,,,,Kepler-55 c,2012
714,0.142,0.008,-0.008,0,,,,,Kepler-55 d,2014
715,0.138,0.021,-0.021,0,,,,,Kepler-55 e,2014
716,0.142,0.009,-0.009,0,,,,,Kepler-55 f,2014
717,0.581,0.026,-0.025,0,,,,,Kepler-56 b,2012
718,0.874,0.041,-0.041,0,,,,,Kepler-56 c,2012
719,0.195,,,0,,,,,Kepler-57 b,2012
720,0.138,,,0,,,,,Kepler-57 c,2012
721,0.248,,,0,,,,,Kepler-58 b,2012
722,0.255,,,0,,,,,Kepler-58 c,2012
723,0.262,0.125,-0.125,0,,,,,Kepler-58 d,2014
724,0.098,,,0,,,,,Kepler-59 b,2012
725,0.177,,,0,,,,,Kepler-59 c,2012
726,0.203,,,0,,,,,Kepler-60 b,2012
727,0.22,,,0,,,,,Kepler-60 c,2012
728,0.227,,,0,,,,,Kepler-60 d,2012
729,0.192,0.012,-0.012,0,,,,,Kepler-61 b,2013
730,0.117,0.004,-0.004,0,368,,,0,Kepler-62 b,2013
731,0.048,0.003,-0.003,0,368,,,0,Kepler-62 c,2013
732,0.174,0.006,-0.006,0,368,,,0,Kepler-62 d,2013
733,0.144,0.004,-0.004,0,368,,,0,Kepler-62 e,2013
734,0.126,0.006,-0.006,0,368,,,0,Kepler-62 f,2013
735,0.545,0.018,-0.018,0,200,15,-15,0,Kepler-63 b,2013
736,0.551,0.015,-0.015,0,1000,,,,PH1 b,2012
737,0.127,0.003,-0.003,0,,,,,Kepler-65 b,2012
738,0.23,0.005,-0.005,0,,,,,Kepler-65 c,2012
739,0.136,0.004,-0.004,0,,,,,Kepler-65 d,2012
740,0.25,0.014,-0.014,0,1107,90,-90,0,Kepler-66 b,2013
741,0.262,0.014,-0.014,0,1107,90,-90,0,Kepler-67 b,2013
742,0.206,0.005,-0.008,0,135,10,-10,0,Kepler-68 b,2012
743,0.085,0.003,-0.004,0,135,10,-10,0,Kepler-68 c,2012
744,,,,,135,10,-10,0,Kepler-68 d,2012
745,0.2,0.039,-0.026,0,,,,,Kepler-69 b,2013
746,0.153,0.03,-0.021,0,,,,,Kepler-69 c,2013
747,0.068,,,0,1180,95,-95,0,KOI-55 b,2011
748,0.077,,,0,1180,95,-95,0,KOI-55 c,2011
749,1.11,0.02,-0.02,0,800,,,0,KOI-217 b,2010
750,1.32,0.14,-0.14,0,1330,170,-170,0,Kepler-74 b,2013
751,1.03,0.06,-0.06,0,1140,250,-160,0,Kepler-75 b,2013
752,1.25,0.08,-0.08,0,,,,,Kepler-76 b,2013
753,0.96,0.016,-0.016,0,570,70,-70,0,Kepler-77 b,2013
754,0.105,0.014,-0.008,0,,,,,Kepler-78 b,2013
